SeriesDescription,GeoAreaName,TimePeriod,Value,Source,[Age],[Sex]
"Employed population below international poverty line, by sex and age (%)",World,2000,32.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2000,33.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2000,24.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2000,25,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2000,25.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2000,25.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2000,26.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2000,27.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2000,31.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2001,23.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2001,24.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2001,26.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2001,24.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2001,25.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2001,30.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2001,31.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2001,32.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2001,23.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2002,23.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2002,23.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2002,22.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2002,24.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2002,29.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2002,30.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2002,29,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
